Index,Name,Price
CI,Cigna Corp,$172.69
CIEN,Ciena Corporation,$59.51
CIG,COMPANHIA ENERG/S ADR,$2.32
CIM,Chimera Investment Corporation,$8.99
CL,Colgate-Palmolive Company,$77.20
CLDR,Cloudera Inc,$11.27
CLF,Cleveland-Cliffs Inc,$5.18
CLNY,Colony Capital Inc,$1.92
CLR,"Continental Resources, Inc.",$17.29
CLVS,Clovis Oncology Inc,$5.79
CMA,Comerica Incorporated,$38.52
CMCSA,Comcast Corporation,$42.80
CME,CME Group Inc,$166.18
CMG,"Chipotle Mexican Grill, Inc.","$1,155.16"
CNC,Centene Corp,$65.25
CNDT,Conduent Inc,$1.91
CNP,"CenterPoint Energy, Inc.",$19.01
CNX,CNX Resources Corp,$9.65
COF,Capital One Financial Corp.,$63.80
COG,Cabot Oil & Gas Corporation,$18.70
COLD,AmeriCold Realty Trust,$40.35
COMM,Commscope Holding Company Inc,$9.28
COP,ConocoPhillips,$37.39
COST,Costco Wholesale Corporation,$325.53
COTY,Coty Inc,$3.71
CPE,Callon Petroleum Company,$1.14
CRC,Corsurex Resource Corp,$0.08
CRM,"salesforce.com, inc.",$194.85
CROX,"Crocs, Inc.",$35.94
CRWD,Crowdstrike Holdings Inc,$113.20
CRZO,#N/A,#N/A
CSCO,"Cisco Systems, Inc.",$47.10
CSX,CSX Corporation,$71.34
CTAS,Cintas Corporation,$301.87
CTL,Centurylink Inc,$9.65
CTSH,Cognizant Technology Solutions Corp,$68.32
CTVA,Corteva Inc,$28.56
CTXS,"Citrix Systems, Inc.",$142.76
CVE,Cenovus Energy Inc,$4.46
CVS,CVS Health Corp,$62.94
CVX,Chevron Corporation,$83.94
CWEN,Clearway Energy Inc Class C,$24.54
CX,Cemex SAB de CV ADR,$3.06
CXO,Concho Resources Inc,$52.54
CY,#N/A,#N/A
CYH,Community Health Systems Inc,$4.98
CZR,Caesars Entertainment Corporation Common Stock,$31.05
D,Dominion Energy Inc,$81.03
DAL,"Delta Air Lines, Inc.",$24.97
DAN,Dana Inc,$11.43
DBX,Dropbox Inc,$22.75
DD,DuPont de Nemours Inc,$53.48
DDOG,Datadog Inc,$93.86
DE,Deere & Company,$176.31
DELL,Dell Technologies Inc,$59.83
DFS,Discover Financial Services,$49.43
DG,Dollar General Corp.,$190.40
DHI,D. R. Horton Inc,$66.16
DHR,Danaher Corporation,$203.80
DIS,Walt Disney Co,$116.94
DISCA,DISCOVERY COMMUNICATIONS INC. Common Stock,$21.10
DISCK,Discovery Inc Series C,$18.95
DISH,DISH Network Corp,$32.11
DLR,"Digital Realty Trust, Inc.",$160.54
DLTR,"Dollar Tree, Inc.",$93.35
DNKN,Dunkin Brands Group Inc,$68.73
DNR,#N/A,#N/A
DO,Diamond Offshore Drilling Inc,$20.33
DOCU,Docusign Inc,$216.83
DOW,Dow Inc,$41.06
DPZ,"Domino's Pizza, Inc.",$386.61
DRE,Duke Realty Corp,$40.19
DUK,Duke Energy Corp,$84.74
DVA,Davita Inc,$87.39
DVN,Devon Energy Corp,$10.49
DXC,DXC Technology Co,$17.91
EA,Electronic Arts Inc.,$141.62
EB,Eventbrite Inc,$8.52
EBAY,eBay Inc,$55.28
ECA,#N/A,#N/A
ECL,Ecolab Inc.,$187.08
ED,"Consolidated Edison, Inc.",$76.83
EDU,New Oriental Education & Tech Grp,$140.20
EFX,Equifax Inc.,$162.56
EGO,Eldorado Gold Corp,$12.59
EIX,Edison International,$55.67
EL,Estee Lauder Companies Inc,$197.54
ELAN,Elanco Animal Health Inc,$23.63
EMR,Emerson Electric Co.,$62.01
ENIA,Enel Americas SA,$7.57
ENLC,EnLink Midstream LLC,$2.45
EOG,EOG Resources Inc,$46.85
EPD,Enterprise Products Partners L.P.,$17.60
EQH,Equitable Holdings Inc,$20.46
EQIX,Equinix Inc,$785.48
EQNR,Equinor ASA,$14.91
EQR,Equity Residential,$53.63
EQT,EQT Corporation,$14.52
ERJ,Embraer SA,$5.78
ESI,Element Solutions Inc,$10.86
ET,Energy Transfer LP Unit,$6.55
ETFC,E*TRADE Financial Corp,$50.77
ETRN,Equitrans Midstream Corp,$9.65
ETSY,Etsy Inc,$118.38
EVR,Evercore Inc,$55.30
EW,Edwards Lifesciences Corp,$78.41
EXC,Exelon Corporation,$38.61
EXEL,"Exelixis, Inc.",$23.09
EXPE,Expedia Group Inc,$81.01
F,Ford Motor Company,$6.61
FAST,Fastenal Company,$47.04
FB,"Facebook, Inc. Common Stock",$253.67
FCAU,Fiat Chrysler Automobiles NV,$10.15
FCX,Freeport-McMoRan Inc,$12.92
FDS,FactSet Research Systems Inc.,$346.30
FDX,FedEx Corporation,$168.40
FE,FirstEnergy Corp.,$29.00
FEYE,FireEye Inc,$15.10
FFIV,"F5 Networks, Inc.",$135.90
FHN,First Horizon National Corp,$9.27
FIS,Fidelity National Information Servcs Inc,$146.31
FISV,Fiserv Inc,$99.79
FIT,Fitbit Inc,$6.54
FITB,Fifth Third Bancorp,$19.86
FL,"Foot Locker, Inc.",$29.39
FLEX,Flex Ltd,$11.49
FLR,Fluor Corporation (NEW),$10.19
FLT,"FleetCor Technologies, Inc.",$258.57
FOLD,"Amicus Therapeutics, Inc.",$14.45
FOXA,Fox Corp Class A,$25.77
FREQ,Frequency Therapeutics Inc,$21.14
FSK,FS KKR Capital Corp,$15.90
FSLR,"First Solar, Inc.",$59.55
FTI,TechnipFMC PLC,$8.03
FTNT,Fortinet Inc,$138.30
FTR,#N/A,#N/A
FTV,Fortive Corp,$70.19
FVRR,Fiverr International Ltd,$93.43
FWONK,Liberty Media Formula One Series C,$35.44
GCI,Gannett Co Inc,$1.48
GD,General Dynamics Corporation,$146.74
GDDY,Godaddy Inc,$70.28
GDS,GDS Holdings Ltd - ADR,$80.29
GE,General Electric Company,$6.07
GEO,The GEO Group Inc,$10.63
GES,"Guess?, Inc.",$10.34
GFI,Gold Fields Limited,$13.09
GGAL,Grupo Financiero Galicia S.A.,$12.00
GGB,Gerdau SA ADR,$3.34
GILD,"Gilead Sciences, Inc.",$69.53
GIS,"General Mills, Inc.",$63.27
GLUU,Glu Mobile Inc.,$9.44
