Index,Name,Price
TD,Toronto-Dominion Bank,$44.28
TECK,Teck Resources Ltd Class B,$10.13
TEDU,Tarena International Inc,$1.66
TELL,Tellurian Inc,$0.89
TER,"Teradyne, Inc.",$88.96
TEVA,Teva Pharmaceutical Industries Ltd,$11.54
TFC,Truist Financial Corp,$37.46
TFX,Teleflex Incorporated,$373.10
TGI,Triumph Group Inc,$6.78
TGT,Target Corporation,$125.88
TIF,Tiffany & Co.,$125.36
TIGR,Up Fintech Holding Ltd,$5.27
TJX,TJX Companies Inc,$51.99
TLRD,Tailored Brands Inc,$0.30
TM,Toyota Motor Corp,$119.34
TME,Tencent Music Entertainment Group - ADR,$16.14
TMO,Thermo Fisher Scientific Inc.,$413.95
TMUS,T-Mobile Us Inc,$107.38
TPR,Tapestry Inc,$13.36
TPX,Tempur Sealy International Inc,$80.95
TRGP,Targa Resources Corp,$18.28
TRIP,Tripadvisor Inc Common Stock,$20.23
TROW,T. Rowe Price Group Inc,$138.10
TRQ,Turquoise Hill Resources Ltd,$0.83
TRV,Travelers Companies Inc,$114.42
TRXC,Transenterix Inc,$0.49
TSG,TriStar Gold Inc.,$0.41
TSLA,Tesla Inc,"$1,430.76"
TSM,Taiwan Semiconductor Mfg. Co. Ltd.,$78.89
TSN,"Tyson Foods, Inc.",$61.45
TSU,TIM Participacoes SA,$14.94
TTM,Tata Motors Limited ADR,$6.82
TTWO,"TAKE-TWO INTERACTIVE SOFTWARE, INC Common Stock",$164.02
TV,Grupo Televisa SAB ADR,$5.59
TW,Tradeweb Markets Inc,$54.07
TWLO,Twilio Inc,$277.42
TWO,Two Harbors Investment Corp,$5.43
TWOU,2U Inc,$47.10
TWTR,Twitter Inc,$36.40
TXMD,TherapeuticsMD Inc,$1.85
TXN,Texas Instruments Incorporated,$127.55
UA,Under Armour Inc Class C,$9.49
UAA,Under Armour Inc Class A,$10.52
UAL,United Airlines Holdings Inc,$31.38
UBER,Uber Technologies Inc,$30.26
UCTT,Ultra Clean Holdings Inc,$30.09
UGP,Ultrapar Participacoes SA,$3.60
ULTA,Ulta Beauty Inc,$192.99
UMC,United Microelectronics Corp,$3.70
UNH,UnitedHealth Group Inc,$302.78
UNIT,Uniti Group Inc,$9.90
UNM,Unum Group,$17.23
UNP,Union Pacific Corporation,$173.35
UPS,"United Parcel Service, Inc.",$142.76
URBN,"Urban Outfitters, Inc.",$16.54
USB,U.S. Bancorp,$36.84
UTX,UTX USD,$97.69
UXIN,Uxin Ltd,$1.27
V,Visa Inc,$190.40
VALE,Vale SA,$11.64
VEEV,Veeva Systems Inc,$264.57
VER,Vereit Inc,$6.51
VFC,VF Corp,$60.36
VG,Vonage Holdings Corp.,$11.95
VGR,Vector Group Ltd,$8.82
VIACA,ViacomCBS Inc Class A,$27.74
VICI,VICI Properties Inc,$21.71
VIPS,Vipshop Holdings Ltd - ADR,$22.77
VIV,Telefonica Brasil SA ADR,$10.09
VLO,Valero Energy Corporation,$56.23
VMW,"VMware, Inc.",$140.21
VRSK,"Verisk Analytics, Inc.",$188.71
VRSN,"Verisign, Inc.",$211.68
VRTX,Vertex Pharmaceuticals Incorporated,$272.00
VST,Vistra Corp,$18.66
VTR,"Ventas, Inc.",$38.36
VZ,Verizon Communications Inc.,$57.48
W,Wayfair Inc,$266.09
WAB,Westinghouse Air Brake Technologies Corp,$62.19
WB,Weibo Corp,$34.56
WBA,Walgreens Boots Alliance Inc,$40.71
WDAY,Workday Inc,$180.92
WDC,Western Digital Corp,$43.10
WELL,Welltower Inc,$53.56
WEN,Wendys Co,$23.18
WEX,WEX Inc,$158.37
WFC,Wells Fargo & Co,$24.26
WING,Wingstop Inc,$156.25
WIT,Wipro Limited,$4.32
WLL,Whiting Petroleum Corp,$0.78
WM,"Waste Management, Inc.",$109.60
WMB,Williams Companies Inc,$19.13
WMT,Walmart Inc,$129.40
WORK,Slack Technologies Inc,$29.55
WPG,Washington Prime Group Inc,$0.73
WPX,WPX Energy Inc,$5.97
WRK,Westrock Co,$26.86
WU,The Western Union Company,$24.28
WUBA,58.com Inc,$55.37
WWE,"World Wrestling Entertainment, Inc.",$46.61
WY,Weyerhaeuser Co,$27.81
WYNN,"Wynn Resorts, Limited",$72.43
X,United States Steel Corporation,$6.66
XEC,Cimarex Energy Co,$24.46
XEL,Xcel Energy Inc,$69.04
XGN,Exagen Inc,$12.45
XLNX,"Xilinx, Inc.",$107.35
XOM,Exxon Mobil Corporation,$42.08
XRX,Xerox Holdings Corp,$16.65
YPF,YPF SA,$6.23
YUM,"Yum! Brands, Inc.",$91.05
YUMC,Yum China Holdings Inc,$51.24
YY,JOYY Inc,$79.82
Z,Zillow Group Inc Class C,$68.39
ZAYO,#N/A,#N/A
ZBH,Zimmer Biomet Holdings Inc,$134.86
ZBRA,Zebra Technologies Corp.,$280.75
ZEN,Zendesk Inc,$91.15
ZION,Zions Bancorporation NA,$32.47
ZM,Zoom Video Communications Inc,$253.91
ZNGA,Zynga Inc,$9.83
ZNH,China Southern Airlines Co Ltd,$22.94
ZS,Zscaler Inc,$129.85
ZTO,ZTO Express (Cayman) Inc,$37.05
ZTS,Zoetis Inc,$151.68
